PID,INNING_KEY,BATTER_IN_INNING_KEY,PITCH_NUMBER,OUT_KEY,BALLS,STRIKES,IS_RUNNER_ON_1B,IS_RUNNER_ON_2B,IS_RUNNER_ON_3B,PITCHER_KEY,THROW_SIDE_KEY,PITCH_TYPE_TRACKED_KEY,EVENT_RESULT_KEY,PITCH_RESULT_KEY,INDUCED_VERTICAL_BREAK,HORIZONTAL_BREAK,SPIN_RATE_ABSOLUTE,RELEASE_SPEED,RELEASE_SIDE,RELEASE_HEIGHT,RELEASE_EXTENSION,HORIZONTAL_APPROACH_ANGLE,VERTICAL_APPROACH_ANGLE,PLATE_X,PLATE_Z
197,1,1,1,0,0,0,0,0,0,668881,R,FB,field_out,InPlay,14.54220009,-12.36030006,2402.459961,100.7649994,-2.427170038,6.085499763,6.460000038,1.612990022,-5.760029793,0.197044998,1.912819982
348,1,2,1,1,0,0,0,0,0,668881,R,FB,,BallCalled,14.25380039,-10.95030022,2273.459961,100.4309998,-2.522530079,5.970439911,6.559999943,0.631016016,-4.609899998,-0.943078995,2.877439976
1072,1,2,2,1,1,0,0,0,0,668881,R,SL,single,InPlay,5.568769932,4.353350163,2314.459961,89.84899902,-2.642420053,5.894100189,6.710000038,3.330480099,-6.765510082,0.0120254,2.168329954
420,1,3,1,1,0,0,1,0,0,668881,R,SL,,FoulBall,4.805409908,4.272540092,2340.459961,89.81099701,-2.524290085,5.907169819,6.550000191,3.804229975,-6.877639771,0.58473599,2.113189936
198,1,3,2,1,0,1,1,0,0,668881,R,SL,,BallCalled,4.132390022,1.624179959,2445.459961,89.01439667,-2.68095994,6.109049797,6.369999886,2.385210037,-5.898789883,-0.634334981,3.452219963
328,1,3,3,1,1,1,1,0,0,668881,R,FB,,FoulBall,17.64299965,-15.01970005,2388.459961,100.6910019,-2.343189955,6.187320232,6.400000095,1.082610011,-4.712009907,0.047688201,2.722899914
422,1,3,4,1,1,2,1,0,0,668881,R,FB,,BallCalled,18.53420067,-13.90750027,2409.459961,101.1220016,-2.152920008,6.193220139,6.539999962,1.883649945,-5.537680149,0.864371002,1.841689944
1600,1,3,5,1,2,2,1,0,0,668881,R,SL,,BallCalled,5.347809792,6.661570072,2365.459961,92.03890228,-2.430150032,5.933829784,6.360000134,4.465079784,-7.713079929,1.074929953,1.286129951
1073,1,3,6,1,3,2,1,0,0,668881,R,FB,,FoulBall,18.31959915,-13.41769981,2312.459961,101.3259964,-2.298429966,6.135509968,6.460000038,2.101249933,-4.373670101,0.871809006,2.866070032
245,1,3,7,1,3,2,1,0,0,668881,R,FB,walk,BallCalled,15.79749966,-12.82219982,2320.459961,101.4069977,-2.558099985,5.969550133,6.420000076,1.396999955,-3.740200043,-0.089948498,3.524290085
1877,1,4,1,1,0,0,1,1,0,668881,R,SL,,StrikeCalled,5.744820118,2.522619963,2353.459961,90.54460144,-2.674999952,5.884729862,6.409999847,2.757889986,-7.137450218,-0.367255002,1.800439954
329,1,4,2,1,0,1,1,1,0,668881,R,SL,,FoulBall,1.998020053,5.253620148,2420.459961,89.53230286,-2.479269981,5.990330219,6.289999962,2.234960079,-7.1051898,-0.903428972,2.402509928
645,1,4,3,1,0,2,1,1,0,668881,R,FB,,BallCalled,17.83819962,-12.58450031,2444.459961,100.6210022,-2.371220112,5.957330227,6.320000172,2.76364994,-3.655590057,1.34355998,3.451030016
1648,1,4,4,1,1,2,1,1,0,668881,R,FB,strikeout,StrikeSwinging,18.71769905,-16.59980011,2540.459961,101.7129974,-2.418669939,6.007390022,6.420000076,1.133149981,-3.771480083,0.160582006,3.254889965
199,1,5,1,2,0,0,1,1,0,668881,R,FB,,StrikeCalled,17.1779995,-8.649889946,2544.459961,102.163002,-2.008569956,6.084280014,6.420000076,1.987450004,-4.743289948,0.624823987,2.565599918
376,1,5,2,2,0,1,1,1,0,668881,R,FB,,StrikeSwinging,17.27289963,-9.186829567,2497.459961,101.1289978,-2.210769892,6.106979847,6.230000019,1.589789987,-4.029429913,0.109228998,3.291729927
1734,1,5,3,2,0,2,1,1,0,668881,R,FB,,FoulBall,17.88330078,-12.62650013,2575.459961,101.1019974,-2.259840012,6.115819931,6.309999943,0.938082993,-4.994800091,-0.231695995,2.323359966
1297,1,5,4,2,0,2,1,1,0,668881,R,FB,,BallCalled,19.59930038,-9.12226963,2515.459961,101.5879974,-1.91339004,6.222219944,6.340000153,2.440969944,-4.379370213,1.177629948,2.813509941
1735,1,5,5,2,1,2,1,1,0,668881,R,SL,strikeout,StrikeCalled,3.472820044,6.918149948,2394.459961,91.01679993,-2.274559975,6.023719788,6.389999866,2.60078001,-7.425119877,-0.511946976,1.840039968
646,2,1,1,0,0,0,0,0,0,668881,R,FB,,BallCalled,20.05610085,-10.17609978,2424.459961,99.83930206,-2.069509983,6.366149902,6.349999905,2.674930096,-4.783189774,1.33754003,2.633690119
246,2,1,3,0,2,0,0,0,0,668881,R,SL,,FoulBall,4.998350143,1.305060029,2317.459961,89.04419708,-2.450570107,5.962369919,6.5,3.214440107,-7.295239925,0.383798003,1.904189944
647,2,1,4,0,2,1,0,0,0,668881,R,SL,,BallCalled,3.74454999,4.540219784,2360.459961,91.08439636,-2.419729948,5.890759945,6.659999847,4.276299953,-8.260689735,1.082100034,0.967463017
844,2,1,5,0,3,1,0,0,0,668881,R,FB,,FoulBall,15.58819962,-11.25459957,2403.459961,100.2269974,-2.419680119,5.788599968,6.650000095,1.491340041,-5.268970013,-0.0084049,2.022880077
1649,2,1,6,0,3,2,0,0,0,668881,R,FB,,FoulBall,18.62639999,-7.882420063,2314.459961,100.8290024,-2.308320045,6.056069851,6.53000021,2.971080065,-4.263579845,1.151299953,2.89102006
1784,2,1,7,0,3,2,0,0,0,668881,R,FB,,FoulBall,15.69929981,-10.43929958,2344.459961,101.2779999,-2.561830044,5.824769974,6.679999828,1.884680033,-5.257480145,0.129263997,1.990929961
247,2,1,8,0,3,2,0,0,0,668881,R,FB,,FoulBall,17.43169975,-13.68550014,2475.459961,101.0080032,-2.424439907,6.061970234,6.429999828,1.165699959,-3.92614007,-0.086182699,3.319920063
1736,2,1,9,0,3,2,0,0,0,668881,R,SL,strikeout,StrikeCalled,5.232999802,0.510452986,2432.459961,91.88249969,-2.604729891,5.883150101,6.53000021,2.718869925,-7.052400112,-0.155168995,1.840800047
1576,2,2,1,1,0,0,0,0,0,668881,R,FB,,StrikeSwinging,18.80200005,-11.07069969,2416.459961,100.487999,-2.286730051,6.055789948,6.380000114,2.145390034,-3.858390093,0.713364005,3.27376008
248,2,2,2,1,0,1,0,0,0,668881,R,FB,,StrikeCalled,17.74650002,-10.46479988,2465.459961,102.3270035,-2.297260046,5.941390038,6.619999886,2.251660109,-4.269889832,0.735720992,2.781729937
225,2,2,3,1,0,2,0,0,0,668881,R,FB,,BallCalled,19.7432003,-12.17990017,2463.459961,101.2799988,-2.375790119,5.970039845,6.25,1.226500034,-2.787640095,-0.118298002,4.060150146
